stop	x	y
220	444357.0	4478866
332	439369.0	4468886
1902	440996.0	4477714
2620	448408.0	4470841
2871	440755.5	4469838
89	441294.0	4473322
1509	439378.0	4481024
1086	446025.0	4475146
2797	440907.0	4468904
1207	447854.0	4475267
2629	436046.0	4473327
5486	448667.3	4472120
1608	441256.0	4482027
2434	438822.0	4470939
438	442567.0	4478614
2387	439730.0	4475282
58	441699.0	4476553
568	438954.0	4482694
3774	443026.3	4484092
1479	435782.9	4471997
4333	439661.6	4474785
5036	441203.0	4472342
3549	450956.3	4480860
5365	440913.0	4479396
5390	450542.0	4478279
1384	440364.0	4476666
2035	444910.0	4480356
3598	440907.0	4467811
1125	441042.0	4471704
801	439676.0	4476966
3211	435116.3	4471406
1080	445147.6	4475612
1916	441978.0	4480373
4617	439515.6	4470185
3749	443401.0	4475642
5775	441989.2	4468519
2802	440999.0	4469162
1229	441144.8	4475617
1545	440385.9	4481478
3150	433874.2	4470207
3662	443254.6	4472399
999	446253.0	4476200
3449	438704.0	4476721
3116	446679.0	4477862
4182	437098.3	4469129
1480	435743.5	4471775
2398	439544.0	4478769
5798	441615.8	4480187
4509	448110.6	4475018
3459	434779.0	4480640
1995	445554.0	4472623
6	433677.3	4479860
411	443422.0	4478413
1055	446135.7	4472705
1270	445787.0	4473203
